31,MKCH,91.8447,22.8512
32,MPUR,90.0301,24.6042
33,NEPJ,81.6154,28.0493
34,NR01,100.6622,30.1432
35,NR03,100.1014,29.9061
36,NR09,103.1693,31.4476
37,NVSK,83.2354,54.8406
38,OSHK,72.7775,40.5299
39,PODG,79.4849,43.3275
40,QIME,101.185,31.0229
41,RBIT,89.3923,26.8493
42,RMJT,86.55,27.3051
43,RMTE,86.5971,26.9909
44,RPUR,90.7632,23.0365
45,SHTZ,68.1228,37.5621
46,SITA,91.6625,22.6148
47,TASH,69.2956,41.328
48,ULAB,107.0523,47.8651
49,WARI,101.1254,30.8812
50,XIAN,109.2215,34.3687
