2,BADG,102.235,51.7697
3,BAGH,92.1919,23.1617
4,BARK,92.3753,22.7256
5,BELT,83.8257,27.4574
6,BESI,84.3797,28.2286
7,BJNM,116.2241,40.2453
8,BRN2,87.2722,26.5197
10,CHNR,91.515,24.1897
11,DAMA,85.1077,27.6081
13,DMAU,84.2652,27.9734
15,GHER,84.4097,28.3746
16,IRKT,104.3162,52.219
17,JAFL,92.0191,25.1794
18,JAML,91.2371,25.0004
20,JURI,92.1353,24.4984
21,KAWA,84.1299,27.648
22,KIRT,85.2882,27.6819
23,KIT3,66.8854,39.1348
24,KMTR,78.1992,41.8678
25,KPTI,92.2171,22.4986
26,KRTV,78.6191,50.714
27,KSTU,92.7938,55.9933
30,MANM,71.6804,37.5423
